V01: INTRADAY PROFILE OF ENTRY DAYS (T+2)

Events analyzed: 1113
Minute observations: 2,828,884

Lowest avg price: minute 297 (-0.13% from open)
Close avg: -0.06% from open
Potential savings (buy at low vs close): 0.07%

Average price path (% from open):
Minute     Time     Avg%     Med%  Winners   Losers
   341    15:11   -0.07%   -0.09%   +0.13%   -0.96%
   342    15:12   -0.07%   -0.10%   +0.13%   -0.95%
   343    15:13   -0.08%   -0.09%   +0.12%   -0.97%
   344    15:14   -0.08%   -0.08%   +0.12%   -0.94%
   345    15:15   -0.08%   -0.09%   +0.12%   -0.96%
   346    15:16   -0.09%   -0.10%   +0.11%   -0.96%
   347    15:17   -0.09%   -0.10%   +0.11%   -0.96%
   348    15:18   -0.08%   -0.10%   +0.12%   -0.95%
   349    15:19   -0.10%   -0.11%   +0.10%   -0.96%
   350    15:20   -0.10%   -0.11%   +0.10%   -0.98%
   351    15:21   -0.10%   -0.10%   +0.10%   -0.97%
   352    15:22   -0.10%   -0.10%   +0.09%   -0.96%
   353    15:23   -0.11%   -0.11%   +0.09%   -0.95%
   354    15:24   -0.11%   -0.10%   +0.09%   -0.94%
   355    15:25   -0.09%   -0.09%   +0.10%   -0.92%
   356    15:26   -0.10%   -0.08%   +0.10%   -0.93%
   357    15:27   -0.10%   -0.09%   +0.10%   -0.94%
   358    15:28   -0.09%   -0.09%   +0.10%   -0.93%
   359    15:29   -0.10%   -0.09%   +0.09%   -0.94%
   360    15:30   -0.10%   -0.10%   +0.10%   -0.96%
   361    15:31   -0.10%   -0.09%   +0.10%   -0.97%
   362    15:32   -0.11%   -0.10%   +0.09%   -0.97%
   363    15:33   -0.11%   -0.10%   +0.09%   -1.00%
   364    15:34   -0.11%   -0.09%   +0.10%   -0.99%
   365    15:35   -0.11%   -0.10%   +0.08%   -0.95%
   366    15:36   -0.12%   -0.09%   +0.07%   -0.94%
   367    15:37   -0.12%   -0.10%   +0.06%   -0.93%
   368    15:38   -0.13%   -0.11%   +0.06%   -0.91%
   369    15:39   -0.12%   -0.11%   +0.06%   -0.91%
   370    15:40   -0.12%   -0.10%   +0.07%   -0.92%
   371    15:41   -0.11%   -0.10%   +0.07%   -0.91%
   372    15:42   -0.11%   -0.11%   +0.07%   -0.91%
   373    15:43   -0.12%   -0.11%   +0.07%   -0.92%
   374    15:44   -0.10%   -0.09%   +0.09%   -0.91%
   375    15:45   -0.10%   -0.08%   +0.08%   -0.89%
   376    15:46   -0.11%   -0.10%   +0.07%   -0.90%
   377    15:47   -0.11%   -0.10%   +0.07%   -0.89%
   378    15:48   -0.10%   -0.10%   +0.08%   -0.88%
   379    15:49   -0.10%   -0.08%   +0.08%   -0.88%
   380    15:50   -0.11%   -0.10%   +0.07%   -0.90%
   381    15:51   -0.11%   -0.10%   +0.07%   -0.90%
   382    15:52   -0.10%   -0.09%   +0.09%   -0.88%
   383    15:53   -0.09%   -0.09%   +0.10%   -0.88%
   384    15:54   -0.06%   -0.07%   +0.12%   -0.84%
   385    15:55   -0.06%   -0.07%   +0.12%   -0.85%
   386    15:56   -0.07%   -0.09%   +0.11%   -0.88%
   387    15:57   -0.09%   -0.10%   +0.09%   -0.86%
   388    15:58   -0.09%   -0.11%   +0.09%   -0.86%
   389    15:59   -0.06%   -0.08%   +0.12%   -0.86%
